BJD_TDB,LOCAL_TIME,RV,RV_ERR
2460969.79337675,2025-10-20 20:54:06.473492,-8.322,0.500
2460971.11716609,2025-10-22 04:40:24.627776,0.554,0.500
2460971.91338326,2025-10-22 23:46:59.531396,14.886,0.500
2460972.73852415,2025-10-23 19:35:13.615185,20.852,0.500
2460973.71984748,2025-10-24 19:08:22.335091,-0.462,0.500
2460974.74548164,2025-10-25 19:45:19.747563,-33.795,0.500
2460977.96002492,2025-10-29 00:54:25.374405,10.603,0.500
2460980.02787506,2025-10-31 02:32:14.160697,-25.961,0.500
2460980.87339290,2025-10-31 22:49:49.712140,-6.195,0.500
2460981.72362539,2025-11-01 19:14:12.726075,-28.314,0.500
2460982.85582664,2025-11-02 22:24:38.940223,1.123,0.500
2460988.11038287,2025-11-08 04:31:33.305782,-4.565,0.500
2460988.91554982,2025-11-08 23:51:03.163215,3.932,0.500
2460990.09944841,2025-11-10 04:15:57.230013,1.184,0.500
2460993.05284270,2025-11-13 03:09:04.170546,-0.635,0.500
2460993.69879874,2025-11-13 18:39:17.876255,-9.697,0.500
2460994.99412299,2025-11-15 01:44:40.291306,-2.834,0.500
2461000.97710171,2025-11-21 01:20:41.426414,4.607,0.500
2461001.91671739,2025-11-21 23:53:49.528463,-2.114,0.500
2461002.80409814,2025-11-22 21:11:44.313344,-4.138,0.500
2461007.95984610,2025-11-28 00:56:31.957888,-6.686,0.500
2461009.73931413,2025-11-29 19:39:09.211423,-10.430,0.500
2461012.87412988,2025-12-02 22:53:37.685278,-6.473,0.500
2461014.88219291,2025-12-04 23:05:27.774163,11.809,0.500
2461016.09064823,2025-12-06 04:05:46.560830,4.241,0.500
2461018.05840217,2025-12-08 03:19:34.101838,19.246,0.500
2461018.80336532,2025-12-08 21:12:24.109414,-8.540,0.500
2461019.90233616,2025-12-09 23:35:02.953741,-8.962,0.500
2461020.76836606,2025-12-10 20:22:14.091364,7.604,0.500
2461024.07470125,2025-12-14 03:43:45.398636,6.621,0.500
2461025.05735671,2025-12-15 03:18:54.049150,10.660,0.500
2461025.81922246,2025-12-15 21:36:04.856236,14.932,0.500
2461027.96153281,2025-12-18 01:01:16.457094,12.496,0.500
2461029.94952233,2025-12-20 00:44:13.744205,-9.057,0.500
2461031.75999551,2025-12-21 20:11:32.392321,-4.227,0.500
2461034.01453916,2025-12-24 02:18:22.296069,-5.058,0.500
2461034.92185300,2025-12-25 00:05:01.207057,-18.880,0.500
2461036.02181304,2025-12-26 02:29:06.283728,-3.898,0.500
2461036.91866338,2025-12-27 00:00:41.107902,-2.577,0.500
2461037.69823388,2025-12-27 18:43:22.049321,-11.114,0.500
2461038.83334568,2025-12-28 21:58:04.569134,-10.533,0.500
2461039.70670897,2025-12-29 18:55:49.973974,15.232,0.500
2461041.08598857,2025-12-31 04:02:10.558713,0.066,0.500
